sample_id,group_name,oil_label,class_name,surface_context,land_mask_required,image_path,annotation_type,lookalike_semantics
oc:oc-0001,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0001.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0002,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0002.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0003,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0003.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0004,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0004.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0005,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0005.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0006,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0006.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0007,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0007.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0008,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0008.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0009,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0009.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0010,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0010.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0011,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0011.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0012,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0012.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0013,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0013.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0014,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0014.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0015,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0015.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0016,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0016.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0017,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0017.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0018,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0018.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0019,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0019.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0020,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0020.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0021,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0021.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0022,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0022.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0023,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0023.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0024,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0024.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0025,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0025.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0026,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0026.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0027,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0027.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0028,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0028.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0029,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0029.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0030,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0030.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0031,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0031.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0032,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0032.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0033,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0033.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0034,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0034.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0035,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0035.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0036,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0036.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0037,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0037.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0038,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0038.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0039,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0039.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0040,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0040.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0041,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0041.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0042,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0042.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0043,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0043.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0044,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0044.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0045,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0045.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0046,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0046.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0047,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0047.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0048,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0048.jpg,oil_object_annotation_expected,not_applicable
oc:oc-0049,oc,1,oil,coast,True,data/external/dartis/raw/oc/oc-0049.jpg,oil_object_annotation_expected,not_applicable
