annotation_order,sample_id,coastal_group,selection_reason,selection_score,ensemble_entropy,ensemble_std,vote_disagreement,uncertain_fraction,predicted_water_fraction,source_adapted_difference,image_path,annotation_image_path,ensemble_probability_path,prelabel_water_path,review_overlay_path,manual_mask_path
1,nc:nc-0076-00-000076,nc,high_uncertainty,1.0,0.8610414266586304,0.2730449140071869,0.7367105484008789,0.6460723876953125,0.530853271484375,0.44224774837493896,data/external/dartis/raw/nc/nc-0076-00-000076.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0076-00-000076.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0076-00-000076.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0076-00-000076.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0076-00-000076.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0076-00-000076.png
2,nc:nc-0101-01-000025,nc,high_uncertainty|source_adapt_disagreement,1.0,0.8862383365631104,0.28314661979675293,0.7568359375,0.6081390380859375,0.617523193359375,0.47443845868110657,data/external/dartis/raw/nc/nc-0101-01-000025.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0101-01-000025.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0101-01-000025.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0101-01-000025.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0101-01-000025.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0101-01-000025.png
3,nc:nc-0126-01-000050,nc,high_uncertainty,1.0,0.8662047386169434,0.27448803186416626,0.7307968139648438,0.6448822021484375,0.5664215087890625,0.43716365098953247,data/external/dartis/raw/nc/nc-0126-01-000050.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0126-01-000050.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0126-01-000050.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0126-01-000050.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0126-01-000050.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0126-01-000050.png
4,nc:nc-0163-02-000003,nc,high_uncertainty,1.0,0.8516865372657776,0.29006659984588623,0.7466306686401367,0.6412353515625,0.4751434326171875,0.4599682092666626,data/external/dartis/raw/nc/nc-0163-02-000003.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0163-02-000003.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0163-02-000003.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0163-02-000003.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0163-02-000003.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0163-02-000003.png
5,nc:nc-0203-02-000043,nc,high_uncertainty,1.0,0.8929057121276855,0.28668373823165894,0.7552022933959961,0.612396240234375,0.5073394775390625,0.44211292266845703,data/external/dartis/raw/nc/nc-0203-02-000043.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0203-02-000043.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0203-02-000043.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0203-02-000043.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0203-02-000043.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0203-02-000043.png
6,nc:nc-0181-02-000021,nc,source_adapt_disagreement,0.9968243922676765,0.8348590135574341,0.2528859078884125,0.683384895324707,0.39593505859375,0.8804168701171875,0.505613386631012,data/external/dartis/raw/nc/nc-0181-02-000021.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0181-02-000021.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0181-02-000021.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0181-02-000021.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0181-02-000021.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0181-02-000021.png
7,nc:nc-0100-01-000024,nc,histogram_diversity,0.9915994555257164,0.8406169414520264,0.29006460309028625,0.6708812713623047,0.60711669921875,0.2386474609375,0.3689934015274048,data/external/dartis/raw/nc/nc-0100-01-000024.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0100-01-000024.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0100-01-000024.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0100-01-000024.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0100-01-000024.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0100-01-000024.png
8,nc:nc-0184-02-000024,nc,histogram_diversity,0.9833860177315774,0.7812635898590088,0.25717073678970337,0.5998678207397461,0.3590545654296875,0.3343658447265625,0.3489520251750946,data/external/dartis/raw/nc/nc-0184-02-000024.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0184-02-000024.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0184-02-000024.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0184-02-000024.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0184-02-000024.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0184-02-000024.png
9,nc:nc-0139-01-000063,nc,histogram_diversity,0.975776968943542,0.7798104882240295,0.2330833375453949,0.592839241027832,0.2969512939453125,0.83563232421875,0.4739857614040375,data/external/dartis/raw/nc/nc-0139-01-000063.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0139-01-000063.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0139-01-000063.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0139-01-000063.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0139-01-000063.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0139-01-000063.png
10,nc:nc-0052-00-000052,nc,histogram_diversity,0.8468141802193279,0.6919593811035156,0.2417968362569809,0.5282402038574219,0.2198944091796875,0.2423553466796875,0.24946025013923645,data/external/dartis/raw/nc/nc-0052-00-000052.jpg,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0052-00-000052.png,data/annotation/v06_dartis_water_active_batch/ensemble_probability/nc__nc-0052-00-000052.png,data/annotation/v06_dartis_water_active_batch/prelabel_water/nc__nc-0052-00-000052.png,data/annotation/v06_dartis_water_active_batch/review_overlay/nc__nc-0052-00-000052.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0052-00-000052.png
