sample_id,coastal_group,saved,completed,image_exists,mask_exists,image_shape,mask_shape,mask_width,mask_height,unique_values,invalid_value_count,land_fraction,water_fraction,ignore_fraction,valid_fraction,hard_pass,issues,warnings,annotation_image_path,manual_mask_path,original_image_path
nc:nc-0076-00-000076,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.02080535888671875,0.97894287109375,0.00025177001953125,0.9997482299804688,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0076-00-000076.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0076-00-000076.png,data/external/dartis/raw/nc/nc-0076-00-000076.jpg
nc:nc-0101-01-000025,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.045909881591796875,0.9538116455078125,0.000278472900390625,0.9997215270996094,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0101-01-000025.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0101-01-000025.png,data/external/dartis/raw/nc/nc-0101-01-000025.jpg
nc:nc-0126-01-000050,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.11735153198242188,0.8819694519042969,0.00067901611328125,0.9993209838867188,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0126-01-000050.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0126-01-000050.png,data/external/dartis/raw/nc/nc-0126-01-000050.jpg
nc:nc-0163-02-000003,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.09051513671875,0.9091720581054688,0.00031280517578125,0.9996871948242188,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0163-02-000003.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0163-02-000003.png,data/external/dartis/raw/nc/nc-0163-02-000003.jpg
nc:nc-0203-02-000043,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.027774810791015625,0.9720573425292969,0.0001678466796875,0.9998321533203125,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0203-02-000043.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0203-02-000043.png,data/external/dartis/raw/nc/nc-0203-02-000043.jpg
nc:nc-0181-02-000021,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.040370941162109375,0.9595298767089844,9.918212890625e-05,0.9999008178710938,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0181-02-000021.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0181-02-000021.png,data/external/dartis/raw/nc/nc-0181-02-000021.jpg
nc:nc-0100-01-000024,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.1810455322265625,0.8187026977539062,0.00025177001953125,0.9997482299804688,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0100-01-000024.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0100-01-000024.png,data/external/dartis/raw/nc/nc-0100-01-000024.jpg
nc:nc-0184-02-000024,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.0337066650390625,0.9661216735839844,0.000171661376953125,0.9998283386230469,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0184-02-000024.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0184-02-000024.png,data/external/dartis/raw/nc/nc-0184-02-000024.jpg
nc:nc-0139-01-000063,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.10845947265625,0.8914070129394531,0.000133514404296875,0.9998664855957031,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0139-01-000063.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0139-01-000063.png,data/external/dartis/raw/nc/nc-0139-01-000063.jpg
nc:nc-0052-00-000052,nc,True,True,True,True,512x512,512x512,512,512,0|128|255,0,0.6745491027832031,0.3249015808105469,0.00054931640625,0.99945068359375,True,,,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0052-00-000052.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0052-00-000052.png,data/external/dartis/raw/nc/nc-0052-00-000052.jpg
