sample_id,coastal_group,source_batch,cv_fold,annotation_image_path,manual_mask_path,land_fraction,water_fraction,ignore_fraction
nc:nc-0168-02-000008,nc,targeted_hard_16,0,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0168-02-000008.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0168-02-000008.png,0.0,1.0,0.0
nc:nc-0194-02-000034,nc,active_original_24,1,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0194-02-000034.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0194-02-000034.png,6.4849853515625e-05,0.999919891357422,1.52587890625e-05
nc:nc-0215-02-000055,nc,active_original_24,2,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0215-02-000055.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0215-02-000055.png,0.010772705078125,0.9890708923339844,0.0001564025878906
nc:nc-0076-00-000076,nc,active_original_24,3,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0076-00-000076.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0076-00-000076.png,0.0208053588867187,0.97894287109375,0.0002517700195312
nc:nc-0203-02-000043,nc,active_original_24,4,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0203-02-000043.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0203-02-000043.png,0.0277748107910156,0.9720573425292968,0.0001678466796875
nc:nc-0184-02-000024,nc,active_original_24,4,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0184-02-000024.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0184-02-000024.png,0.0337066650390625,0.9661216735839844,0.0001716613769531
nc:nc-0181-02-000021,nc,active_original_24,3,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0181-02-000021.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0181-02-000021.png,0.0403709411621093,0.9595298767089844,9.918212890625e-05
nc:nc-0101-01-000025,nc,active_original_24,2,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0101-01-000025.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0101-01-000025.png,0.0459098815917968,0.9538116455078124,0.0002784729003906
nc:nc-0027-00-000027,nc,targeted_hard_16,1,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0027-00-000027.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0027-00-000027.png,0.0518951416015625,0.9478073120117188,0.00029754638671875
nc:nc-0266-03-000031,nc,active_original_24,0,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0266-03-000031.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0266-03-000031.png,0.0567550659179687,0.9432449340820312,0.0
nc:nc-0139-01-000063,nc,active_original_24,0,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0139-01-000063.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0139-01-000063.png,0.10845947265625,0.8914070129394531,0.0001335144042968
nc:nc-0126-01-000050,nc,active_original_24,1,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0126-01-000050.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0126-01-000050.png,0.1173515319824218,0.8819694519042969,0.0006790161132812
nc:nc-0100-01-000024,nc,active_original_24,2,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0100-01-000024.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0100-01-000024.png,0.1810455322265625,0.8187026977539062,0.0002517700195312
nc:nc-0071-00-000071,nc,targeted_hard_16,3,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0071-00-000071.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0071-00-000071.png,0.19990158081054688,0.7995834350585938,0.000514984130859375
nc:nc-0178-02-000018,nc,targeted_hard_16,4,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0178-02-000018.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0178-02-000018.png,0.3561058044433594,0.6431541442871094,0.00074005126953125
nc:nc-0251-03-000016,nc,targeted_hard_16,4,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0251-03-000016.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0251-03-000016.png,0.4016914367675781,0.5976448059082031,0.00066375732421875
nc:nc-0140-01-000064,nc,targeted_hard_16,3,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0140-01-000064.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0140-01-000064.png,0.4265632629394531,0.5728607177734375,0.000576019287109375
nc:nc-0272-03-000037,nc,active_original_24,2,data/annotation/v06_dartis_water_active_batch/images/nc__nc-0272-03-000037.png,data/annotation/v06_dartis_water_active_batch/manual_masks/nc__nc-0272-03-000037.png,0.7537574768066406,0.2460670471191406,0.0001754760742187
nc:nc-0228-02-000068,nc,targeted_hard_16,1,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0228-02-000068.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0228-02-000068.png,0.792877197265625,0.20552825927734375,0.00159454345703125
nc:nc-0038-00-000038,nc,targeted_hard_16,0,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0038-00-000038.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0038-00-000038.png,0.9296607971191406,0.06986618041992188,0.0004730224609375
oc:oc-0112,oc,targeted_hard_16,0,data/annotation/v06_dartis_water_targeted_hard_batch/images/oc__oc-0112.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/oc__oc-0112.png,2.6702880859375e-05,0.9998893737792969,8.392333984375e-05
oc:oc-0333,oc,active_original_24,1,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0333.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0333.png,8.7738037109375e-05,0.9999046325683594,7.62939453125e-06
oc:oc-0350,oc,targeted_hard_16,2,data/annotation/v06_dartis_water_targeted_hard_batch/images/oc__oc-0350.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/oc__oc-0350.png,0.00583648681640625,0.9933624267578125,0.00080108642578125
oc:oc-0108,oc,active_original_24,3,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0108.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0108.png,0.0145606994628906,0.9849205017089844,0.000518798828125
oc:oc-0238,oc,targeted_hard_16,4,data/annotation/v06_dartis_water_targeted_hard_batch/images/oc__oc-0238.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/oc__oc-0238.png,0.015628814697265625,0.983306884765625,0.001064300537109375
oc:oc-0080,oc,active_original_24,4,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0080.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0080.png,0.0309410095214843,0.9688835144042968,0.0001754760742187
oc:oc-0027,oc,targeted_hard_16,3,data/annotation/v06_dartis_water_targeted_hard_batch/images/oc__oc-0027.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/oc__oc-0027.png,0.03720855712890625,0.9382705688476562,0.0245208740234375
oc:oc-0085,oc,active_original_24,2,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0085.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0085.png,0.0385246276855468,0.9612960815429688,0.0001792907714843
oc:oc-0219,oc,active_original_24,1,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0219.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0219.png,0.0397567749023437,0.960235595703125,7.62939453125e-06
oc:oc-0189,oc,active_original_24,0,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0189.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0189.png,0.0492935180664062,0.95050048828125,0.0002059936523437
oc:oc-0088,oc,active_original_24,0,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0088.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0088.png,0.0503921508789062,0.9496078491210938,0.0
oc:oc-0135,oc,active_original_24,1,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0135.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0135.png,0.0535736083984375,0.9463729858398438,5.340576171875e-05
oc:oc-0264,oc,active_original_24,2,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0264.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0264.png,0.0713272094726562,0.9286537170410156,1.9073486328125e-05
oc:oc-0127,oc,active_original_24,3,data/annotation/v06_dartis_water_active_batch/images/oc__oc-0127.png,data/annotation/v06_dartis_water_active_batch/manual_masks/oc__oc-0127.png,0.1029510498046875,0.8970489501953125,0.0
oc:oc-0286,oc,targeted_hard_16,4,data/annotation/v06_dartis_water_targeted_hard_batch/images/oc__oc-0286.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/oc__oc-0286.png,0.15782928466796875,0.8399009704589844,0.002269744873046875
