sample_id,subset,oil_label,surface_context,image_path,image_width,image_height,land_mask_path,safe_water_mask_path,mask_source,coast_buffer_pixels,polygon_count,land_pixels,land_ratio,safe_water_pixels,safe_water_ratio,excluded_pixels,excluded_ratio,generation_status,eligible_for_training,locked_test_used
nc:nc-0001-00-000001,nc,0,coast,data/external/dartis/raw/nc/nc-0001-00-000001.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0001-00-000001.png,data/derived/v06_water_masks/safe_water/nc/nc-0001-00-000001.png,RESUMED_EXISTING,8,-1,59645,0.14561767578125,343028,0.837470703125,66572,0.162529296875,SUCCESS,True,False
nc:nc-0002-00-000002,nc,0,coast,data/external/dartis/raw/nc/nc-0002-00-000002.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0002-00-000002.png,data/derived/v06_water_masks/safe_water/nc/nc-0002-00-000002.png,RESUMED_EXISTING,8,-1,263663,0.64370849609375,137731,0.33625732421875,271869,0.66374267578125,SUCCESS,True,False
nc:nc-0003-00-000003,nc,0,coast,data/external/dartis/raw/nc/nc-0003-00-000003.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0003-00-000003.png,data/derived/v06_water_masks/safe_water/nc/nc-0003-00-000003.png,RESUMED_EXISTING,8,-1,0,0.0,409600,1.0,0,0.0,SUCCESS,True,False
nc:nc-0004-00-000004,nc,0,coast,data/external/dartis/raw/nc/nc-0004-00-000004.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0004-00-000004.png,data/derived/v06_water_masks/safe_water/nc/nc-0004-00-000004.png,RESUMED_EXISTING,8,-1,258323,0.63067138671875,142972,0.349052734375,266628,0.650947265625,SUCCESS,True,False
nc:nc-0005-00-000005,nc,0,coast,data/external/dartis/raw/nc/nc-0005-00-000005.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0005-00-000005.png,data/derived/v06_water_masks/safe_water/nc/nc-0005-00-000005.png,RESUMED_EXISTING,8,-1,79364,0.193759765625,317345,0.77476806640625,92255,0.22523193359375,SUCCESS,True,False
nc:nc-0006-00-000006,nc,0,coast,data/external/dartis/raw/nc/nc-0006-00-000006.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0006-00-000006.png,data/derived/v06_water_masks/safe_water/nc/nc-0006-00-000006.png,RESUMED_EXISTING,8,-1,321284,0.784384765625,81772,0.199638671875,327828,0.800361328125,SUCCESS,True,False
nc:nc-0007-00-000007,nc,0,coast,data/external/dartis/raw/nc/nc-0007-00-000007.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0007-00-000007.png,data/derived/v06_water_masks/safe_water/nc/nc-0007-00-000007.png,RESUMED_EXISTING,8,-1,36745,0.08970947265625,367252,0.896611328125,42348,0.103388671875,SUCCESS,True,False
nc:nc-0008-00-000008,nc,0,coast,data/external/dartis/raw/nc/nc-0008-00-000008.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0008-00-000008.png,data/derived/v06_water_masks/safe_water/nc/nc-0008-00-000008.png,RESUMED_EXISTING,8,-1,243980,0.595654296875,157611,0.38479248046875,251989,0.61520751953125,SUCCESS,True,False
nc:nc-0009-00-000009,nc,0,coast,data/external/dartis/raw/nc/nc-0009-00-000009.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0009-00-000009.png,data/derived/v06_water_masks/safe_water/nc/nc-0009-00-000009.png,RESUMED_EXISTING,8,-1,235867,0.57584716796875,165652,0.404423828125,243948,0.595576171875,SUCCESS,True,False
nc:nc-0010-00-000010,nc,0,coast,data/external/dartis/raw/nc/nc-0010-00-000010.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0010-00-000010.png,data/derived/v06_water_masks/safe_water/nc/nc-0010-00-000010.png,RESUMED_EXISTING,8,-1,45653,0.11145751953125,358377,0.87494384765625,51223,0.12505615234375,SUCCESS,True,False
nc:nc-0011-00-000011,nc,0,coast,data/external/dartis/raw/nc/nc-0011-00-000011.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0011-00-000011.png,data/derived/v06_water_masks/safe_water/nc/nc-0011-00-000011.png,RESUMED_EXISTING,8,-1,105439,0.25741943359375,296553,0.72400634765625,113047,0.27599365234375,SUCCESS,True,False
nc:nc-0012-00-000012,nc,0,coast,data/external/dartis/raw/nc/nc-0012-00-000012.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0012-00-000012.png,data/derived/v06_water_masks/safe_water/nc/nc-0012-00-000012.png,RESUMED_EXISTING,8,-1,37499,0.09155029296875,363985,0.88863525390625,45615,0.11136474609375,SUCCESS,True,False
nc:nc-0013-00-000013,nc,0,coast,data/external/dartis/raw/nc/nc-0013-00-000013.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0013-00-000013.png,data/derived/v06_water_masks/safe_water/nc/nc-0013-00-000013.png,RESUMED_EXISTING,8,-1,191866,0.4684228515625,204272,0.4987109375,205328,0.5012890625,SUCCESS,True,False
nc:nc-0014-00-000014,nc,0,coast,data/external/dartis/raw/nc/nc-0014-00-000014.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0014-00-000014.png,data/derived/v06_water_masks/safe_water/nc/nc-0014-00-000014.png,RESUMED_EXISTING,8,-1,270832,0.6612109375,122947,0.30016357421875,286653,0.69983642578125,SUCCESS,True,False
nc:nc-0015-00-000015,nc,0,coast,data/external/dartis/raw/nc/nc-0015-00-000015.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0015-00-000015.png,data/derived/v06_water_masks/safe_water/nc/nc-0015-00-000015.png,RESUMED_EXISTING,8,-1,106102,0.2590380859375,296261,0.72329345703125,113339,0.27670654296875,SUCCESS,True,False
nc:nc-0016-00-000016,nc,0,coast,data/external/dartis/raw/nc/nc-0016-00-000016.jpg,640,640,data/derived/v06_water_masks/land/nc/nc-0016-00-000016.png,data/derived/v06_water_masks/safe_water/nc/nc-0016-00-000016.png,RESUMED_EXISTING,8,-1,71475,0.17449951171875,331864,0.81021484375,77736,0.18978515625,SUCCESS,True,False
