sample_id,subset,oil_label,surface_context,image_path,image_width,image_height,land_mask_path,safe_water_mask_path,mask_source,coast_buffer_pixels,polygon_count,land_pixels,land_ratio,safe_water_pixels,safe_water_ratio,excluded_pixels,excluded_ratio,generation_status,eligible_for_training,locked_test_used,final_land_mask_path,final_safe_water_mask_path,final_mask_source,manual_verified,eligible_for_water_model
nc:nc-0001-00-000001,nc,0,coast,data/external/dartis/raw/nc/nc-0001-00-000001.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0001-00-000001.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0001-00-000001.png,OSM_GEOGRAPHIC_MASK,8,3,59152,0.1444140625,342898,0.8371533203125,66702,0.1628466796875,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0001-00-000001.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0001-00-000001.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0002-00-000002,nc,0,coast,data/external/dartis/raw/nc/nc-0002-00-000002.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0002-00-000002.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0002-00-000002.png,OSM_GEOGRAPHIC_MASK,8,2,262660,0.641259765625,137825,0.33648681640625,271775,0.66351318359375,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0002-00-000002.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0002-00-000002.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0003-00-000003,nc,0,coast,data/external/dartis/raw/nc/nc-0003-00-000003.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0003-00-000003.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0003-00-000003.png,OSM_GEOGRAPHIC_MASK,8,0,0,0.0,409600,1.0,0,0.0,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0003-00-000003.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0003-00-000003.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0004-00-000004,nc,0,coast,data/external/dartis/raw/nc/nc-0004-00-000004.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0004-00-000004.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0004-00-000004.png,OSM_GEOGRAPHIC_MASK,8,2,257346,0.6282861328125,143055,0.34925537109375,266545,0.65074462890625,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0004-00-000004.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0004-00-000004.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0005-00-000005,nc,0,coast,data/external/dartis/raw/nc/nc-0005-00-000005.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0005-00-000005.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0005-00-000005.png,OSM_GEOGRAPHIC_MASK,8,6,78915,0.19266357421875,317360,0.7748046875,92240,0.2251953125,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0005-00-000005.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0005-00-000005.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0006-00-000006,nc,0,coast,data/external/dartis/raw/nc/nc-0006-00-000006.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0006-00-000006.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0006-00-000006.png,OSM_GEOGRAPHIC_MASK,8,2,320250,0.7818603515625,81808,0.1997265625,327792,0.8002734375,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0006-00-000006.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0006-00-000006.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0007-00-000007,nc,0,coast,data/external/dartis/raw/nc/nc-0007-00-000007.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0007-00-000007.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0007-00-000007.png,OSM_GEOGRAPHIC_MASK,8,1,36953,0.09021728515625,366917,0.89579345703125,42683,0.10420654296875,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0007-00-000007.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0007-00-000007.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0008-00-000008,nc,0,coast,data/external/dartis/raw/nc/nc-0008-00-000008.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0008-00-000008.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0008-00-000008.png,OSM_GEOGRAPHIC_MASK,8,1,243081,0.59345947265625,157667,0.38492919921875,251933,0.61507080078125,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0008-00-000008.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0008-00-000008.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0009-00-000009,nc,0,coast,data/external/dartis/raw/nc/nc-0009-00-000009.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0009-00-000009.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0009-00-000009.png,OSM_GEOGRAPHIC_MASK,8,1,234998,0.5737255859375,165694,0.4045263671875,243906,0.5954736328125,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0009-00-000009.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0009-00-000009.png,OSM_GEOGRAPHIC_MASK,False,False
nc:nc-0010-00-000010,nc,0,coast,data/external/dartis/raw/nc/nc-0010-00-000010.jpg,640,640,data/derived/v06_water_masks_homography/land/nc/nc-0010-00-000010.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0010-00-000010.png,OSM_GEOGRAPHIC_MASK,8,3,45237,0.11044189453125,358215,0.87454833984375,51385,0.12545166015625,SUCCESS,True,False,data/derived/v06_water_masks_homography/land/nc/nc-0010-00-000010.png,data/derived/v06_water_masks_homography/safe_water/nc/nc-0010-00-000010.png,OSM_GEOGRAPHIC_MASK,False,False
