annotation_order,sample_id,coastal_group,selection_reason,consensus_land_fraction,consensus_water_fraction,uncertain_fraction,ensemble_std,source_water_fraction,source_minus_landaware,edge_density,image_path,annotation_image_path,ensemble_probability_path,prelabel_water_path,review_overlay_path,manual_mask_path
1,nc:nc-0228-02-000068,nc,boundary_rich,0.3839263916015625,0.488861083984375,0.1272125244140625,0.0907936841249466,0.03839111328125,0.0,0.25,data/external/dartis/raw/nc/nc-0228-02-000068.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0228-02-000068.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/nc__nc-0228-02-000068.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/nc__nc-0228-02-000068.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/nc__nc-0228-02-000068.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0228-02-000068.png
2,nc:nc-0027-00-000027,nc,land_heavy,0.9876708984375,0.003936767578125,0.008392333984375,0.2351090908050537,0.0001068115234375,0.0,0.25,data/external/dartis/raw/nc/nc-0027-00-000027.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0027-00-000027.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/nc__nc-0027-00-000027.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/nc__nc-0027-00-000027.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/nc__nc-0027-00-000027.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0027-00-000027.png
3,nc:nc-0038-00-000038,nc,land_heavy,0.9979095458984375,0.0,0.0020904541015625,0.2138102650642395,0.0005340576171875,0.0005340576171875,0.25,data/external/dartis/raw/nc/nc-0038-00-000038.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0038-00-000038.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/nc__nc-0038-00-000038.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/nc__nc-0038-00-000038.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/nc__nc-0038-00-000038.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0038-00-000038.png
4,nc:nc-0168-02-000008,nc,land_heavy,0.9923553466796875,0.0002593994140625,0.00738525390625,0.34947776794433594,0.0,0.0,0.25,data/external/dartis/raw/nc/nc-0168-02-000008.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0168-02-000008.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/nc__nc-0168-02-000008.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/nc__nc-0168-02-000008.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/nc__nc-0168-02-000008.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0168-02-000008.png
5,nc:nc-0140-01-000064,nc,model_disagreement,0.6693572998046875,0.030609130859375,0.3000335693359375,0.17647424340248108,0.1732177734375,0.142608642578125,0.25,data/external/dartis/raw/nc/nc-0140-01-000064.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0140-01-000064.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/nc__nc-0140-01-000064.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/nc__nc-0140-01-000064.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/nc__nc-0140-01-000064.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0140-01-000064.png
6,nc:nc-0071-00-000071,nc,model_disagreement,0.6308135986328125,0.0760498046875,0.2931365966796875,0.20156167447566986,0.1237335205078125,0.0476837158203125,0.25,data/external/dartis/raw/nc/nc-0071-00-000071.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0071-00-000071.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/nc__nc-0071-00-000071.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/nc__nc-0071-00-000071.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/nc__nc-0071-00-000071.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0071-00-000071.png
7,nc:nc-0178-02-000018,nc,water_miss_risk,0.61883544921875,0.0513916015625,0.32977294921875,0.17782112956047058,0.3705596923828125,0.3191680908203125,0.25,data/external/dartis/raw/nc/nc-0178-02-000018.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0178-02-000018.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/nc__nc-0178-02-000018.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/nc__nc-0178-02-000018.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/nc__nc-0178-02-000018.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0178-02-000018.png
8,nc:nc-0251-03-000016,nc,water_miss_risk,0.448822021484375,0.2208709716796875,0.3303070068359375,0.06314349174499512,0.56475830078125,0.3438873291015625,0.25,data/external/dartis/raw/nc/nc-0251-03-000016.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/nc__nc-0251-03-000016.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/nc__nc-0251-03-000016.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/nc__nc-0251-03-000016.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/nc__nc-0251-03-000016.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/nc__nc-0251-03-000016.png
9,oc:oc-0286,oc,boundary_rich,0.3432159423828125,0.5337371826171875,0.123046875,0.10988585650920868,0.153778076171875,0.0,0.25,data/external/dartis/raw/oc/oc-0286.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/oc__oc-0286.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/oc__oc-0286.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/oc__oc-0286.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/oc__oc-0286.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/oc__oc-0286.png
10,oc:oc-0027,oc,land_heavy,0.9956512451171875,0.0001373291015625,0.00421142578125,0.2696414589881897,0.006744384765625,0.0066070556640625,0.25,data/external/dartis/raw/oc/oc-0027.jpg,data/annotation/v06_dartis_water_targeted_hard_batch/images/oc__oc-0027.png,data/annotation/v06_dartis_water_targeted_hard_batch/ensemble_vote_fraction/oc__oc-0027.png,data/annotation/v06_dartis_water_targeted_hard_batch/prelabel_water/oc__oc-0027.png,data/annotation/v06_dartis_water_targeted_hard_batch/review_overlay/oc__oc-0027.png,data/annotation/v06_dartis_water_targeted_hard_batch/manual_masks/oc__oc-0027.png
