sample_key,dataset_group,split,split_file,split_csv_row,image_path,mask_path,split_conflict,image_open_ok,mask_open_ok,same_shape,expected_bands,same_crs,transform_exact,transform_close_1e_9,transform_close_1e_6,transform_max_abs_difference,image_width,image_height,image_bands,mask_width,mask_height,mask_bands,mask_nodata,mask_unique_values,mask_values_valid,image_band1_min,image_band1_max,image_band2_min,image_band2_max,inspection_error,pixel_training_eligible
flood:external_holdout:Bolivia_103757_S1Hand:c9b06196d5c4,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,1,data/external/sen1floods11/flood_sar/Bolivia_103757_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_103757_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-40.821441650390625,-0.6905989646911621,-48.24835968017578,-6.994661331176758,,True
flood:external_holdout:Bolivia_129334_S1Hand:284c8889b286,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,2,data/external/sen1floods11/flood_sar/Bolivia_129334_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_129334_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-36.82529830932617,0.4744816720485687,-54.34866714477539,-6.3170928955078125,,True
flood:external_holdout:Bolivia_195474_S1Hand:5fddc0a11efd,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,3,data/external/sen1floods11/flood_sar/Bolivia_195474_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_195474_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-23.107797622680664,7.00493049621582,-35.958290100097656,0.08897902816534042,,True
flood:external_holdout:Bolivia_23014_S1Hand:97dfbf90af92,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,4,data/external/sen1floods11/flood_sar/Bolivia_23014_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_23014_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-66.51229858398438,0.17055276036262512,-68.47930145263672,-6.397890090942383,,True
flood:external_holdout:Bolivia_233925_S1Hand:f486ba7fb6bb,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,5,data/external/sen1floods11/flood_sar/Bolivia_233925_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_233925_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-89.78575897216797,-1.1250704526901245,-103.87602996826172,-6.185252666473389,,True
flood:external_holdout:Bolivia_242570_S1Hand:a9ea00fc229e,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,6,data/external/sen1floods11/flood_sar/Bolivia_242570_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_242570_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-38.02528762817383,-1.0283496379852295,-54.61154556274414,-6.917205333709717,,True
flood:external_holdout:Bolivia_290290_S1Hand:e0e301c0f1d9,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,7,data/external/sen1floods11/flood_sar/Bolivia_290290_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_290290_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-40.59314727783203,1.619675874710083,-47.65573501586914,-4.674552917480469,,True
flood:external_holdout:Bolivia_294583_S1Hand:aa11fd1ddb09,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,8,data/external/sen1floods11/flood_sar/Bolivia_294583_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_294583_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-40.45533752441406,2.5029430389404297,-48.29588317871094,-5.808106899261475,,True
flood:external_holdout:Bolivia_312675_S1Hand:ecc6b2f52832,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,9,data/external/sen1floods11/flood_sar/Bolivia_312675_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_312675_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-30.476381301879883,1.1514215469360352,-44.518531799316406,-5.498597621917725,,True
flood:external_holdout:Bolivia_314919_S1Hand:ad2ac4945159,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,10,data/external/sen1floods11/flood_sar/Bolivia_314919_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_314919_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-48.3681640625,8.278704643249512,-48.38965606689453,3.168764114379883,,True
flood:external_holdout:Bolivia_360519_S1Hand:a27787570028,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,11,data/external/sen1floods11/flood_sar/Bolivia_360519_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_360519_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-60.1744270324707,0.6965633034706116,-73.74602508544922,-5.23923397064209,,True
flood:external_holdout:Bolivia_379434_S1Hand:95476151d6e7,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,12,data/external/sen1floods11/flood_sar/Bolivia_379434_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_379434_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,0.0|1.0,True,-36.919776916503906,0.5694412589073181,-46.358943939208984,-6.112007141113281,,True
flood:external_holdout:Bolivia_432776_S1Hand:a206d87251e1,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,13,data/external/sen1floods11/flood_sar/Bolivia_432776_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_432776_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-68.3624267578125,1.2049789428710938,-82.45033264160156,-7.053070545196533,,True
flood:external_holdout:Bolivia_60373_S1Hand:c1532b1a2e2d,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,14,data/external/sen1floods11/flood_sar/Bolivia_60373_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_60373_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-35.225833892822266,-0.14513804018497467,-47.97657775878906,-6.573159694671631,,True
flood:external_holdout:Bolivia_76104_S1Hand:7b97a38b636a,flood,external_holdout,data/external/sen1floods11/flood_splits/flood_bolivia_data.csv,15,data/external/sen1floods11/flood_sar/Bolivia_76104_S1Hand.tif,data/external/sen1floods11/flood_mask/Bolivia_76104_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-21.967544555664062,0.31533199548721313,-34.948543548583984,-6.090136528015137,,True
flood:test:Ghana_1078550_S1Hand:485c627107a0,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,2,data/external/sen1floods11/flood_sar/Ghana_1078550_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_1078550_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,0.0|1.0,True,-21.302204132080078,-0.6199936270713806,-33.612953186035156,-6.918473720550537,,True
flood:test:Ghana_141271_S1Hand:d907bf0760ae,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,11,data/external/sen1floods11/flood_sar/Ghana_141271_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_141271_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,0.0|1.0,True,-21.823841094970703,4.748376369476318,-30.93682289123535,-7.106031894683838,,True
flood:test:Ghana_167233_S1Hand:a8d6ce5bbd97,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,10,data/external/sen1floods11/flood_sar/Ghana_167233_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_167233_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,0.0,True,-19.406476974487305,-1.4234942197799683,-31.703296661376953,-7.901623249053955,,True
flood:test:Ghana_313799_S1Hand:22b3f7c0f078,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,1,data/external/sen1floods11/flood_sar/Ghana_313799_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_313799_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-26.14348030090332,-0.2598145604133606,-37.855064392089844,-6.627669334411621,,True
flood:test:Ghana_319168_S1Hand:e749112a7a6b,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,5,data/external/sen1floods11/flood_sar/Ghana_319168_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_319168_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-33.995445251464844,0.48615479469299316,-47.36772918701172,-0.6350928544998169,,True
flood:test:Ghana_359826_S1Hand:74c708db23e8,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,4,data/external/sen1floods11/flood_sar/Ghana_359826_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_359826_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,0.0|1.0,True,-32.1573600769043,1.7683868408203125,-49.14693832397461,-7.016384601593018,,True
flood:test:Ghana_406026_S1Hand:236aefb93b81,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,7,data/external/sen1floods11/flood_sar/Ghana_406026_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_406026_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,0.0|1.0,True,-46.683616638183594,2.211312770843506,-47.640995025634766,-8.382214546203613,,True
flood:test:Ghana_53713_S1Hand:582f2fcf6d64,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,8,data/external/sen1floods11/flood_sar/Ghana_53713_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_53713_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,0.0,True,-20.834808349609375,-0.36368072032928467,-31.463926315307617,-8.686059951782227,,True
flood:test:Ghana_83483_S1Hand:834777d58183,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,9,data/external/sen1floods11/flood_sar/Ghana_83483_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_83483_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0,True,-19.468196868896484,-1.4886407852172852,-26.499563217163086,-7.506401538848877,,True
flood:test:Ghana_866994_S1Hand:c665353798ea,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,6,data/external/sen1floods11/flood_sar/Ghana_866994_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_866994_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-47.27793884277344,7.897639751434326,-56.69415283203125,-7.8792266845703125,,True
flood:test:Ghana_97059_S1Hand:1648acf4a4bf,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,3,data/external/sen1floods11/flood_sar/Ghana_97059_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_97059_LabelHand.tif,False,True,True,True,True,True,False,True,True,3.1170812458958252e-19,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0,True,-26.313440322875977,-0.7885403633117676,-44.361087799072266,-6.3158769607543945,,True
flood:test:India_1018327_S1Hand:217c75bff451,flood,test,data/external/sen1floods11/flood_splits/flood_test_data.csv,21,data/external/sen1floods11/flood_sar/India_1018327_S1Hand.tif,data/external/sen1floods11/flood_mask/India_1018327_LabelHand.tif,False,True,True,True,True,True,False,True,True,6.423897871976614e-18,512.0,512.0,2.0,512.0,512.0,1.0,,-1.0|0.0|1.0,True,-48.30550003051758,21.734254837036133,-48.32838821411133,7.1483941078186035,,True
