sample_key,dataset_group,split,image_path,mask_path,image_open_ok,mask_open_ok,same_shape,image_width,image_height,image_bands,mask_width,mask_height,mask_bands,mask_min,mask_max,mask_unique_preview,valid_pixel_ratio,inspection_error
Ghana_1078550,flood,test,data/external/sen1floods11/flood_sar/Ghana_1078550_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_1078550_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Ghana_141271,flood,test,data/external/sen1floods11/flood_sar/Ghana_141271_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_141271_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Ghana_167233,flood,test,data/external/sen1floods11/flood_sar/Ghana_167233_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_167233_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,0.0,0.0,1.0,
Ghana_313799,flood,test,data/external/sen1floods11/flood_sar/Ghana_313799_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_313799_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Ghana_319168,flood,test,data/external/sen1floods11/flood_sar/Ghana_319168_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_319168_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Ghana_359826,flood,test,data/external/sen1floods11/flood_sar/Ghana_359826_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_359826_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Ghana_406026,flood,test,data/external/sen1floods11/flood_sar/Ghana_406026_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_406026_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Ghana_53713,flood,test,data/external/sen1floods11/flood_sar/Ghana_53713_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_53713_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,0.0,0.0,1.0,
Ghana_83483,flood,test,data/external/sen1floods11/flood_sar/Ghana_83483_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_83483_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,-1.0,-1.0,1.0,
Ghana_866994,flood,test,data/external/sen1floods11/flood_sar/Ghana_866994_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_866994_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Ghana_97059,flood,test,data/external/sen1floods11/flood_sar/Ghana_97059_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_97059_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,0.0,-1.0|0.0,1.0,
India_1018327,flood,test,data/external/sen1floods11/flood_sar/India_1018327_S1Hand.tif,data/external/sen1floods11/flood_mask/India_1018327_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_399883,flood,test,data/external/sen1floods11/flood_sar/India_399883_S1Hand.tif,data/external/sen1floods11/flood_mask/India_399883_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_44475,flood,test,data/external/sen1floods11/flood_sar/India_44475_S1Hand.tif,data/external/sen1floods11/flood_mask/India_44475_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,0.0,-1.0|0.0,1.0,
India_570384,flood,test,data/external/sen1floods11/flood_sar/India_570384_S1Hand.tif,data/external/sen1floods11/flood_mask/India_570384_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_591317,flood,test,data/external/sen1floods11/flood_sar/India_591317_S1Hand.tif,data/external/sen1floods11/flood_mask/India_591317_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_592446,flood,test,data/external/sen1floods11/flood_sar/India_592446_S1Hand.tif,data/external/sen1floods11/flood_mask/India_592446_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_631692,flood,test,data/external/sen1floods11/flood_sar/India_631692_S1Hand.tif,data/external/sen1floods11/flood_mask/India_631692_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
India_747992,flood,test,data/external/sen1floods11/flood_sar/India_747992_S1Hand.tif,data/external/sen1floods11/flood_mask/India_747992_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_772630,flood,test,data/external/sen1floods11/flood_sar/India_772630_S1Hand.tif,data/external/sen1floods11/flood_mask/India_772630_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_79637,flood,test,data/external/sen1floods11/flood_sar/India_79637_S1Hand.tif,data/external/sen1floods11/flood_mask/India_79637_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
India_80221,flood,test,data/external/sen1floods11/flood_sar/India_80221_S1Hand.tif,data/external/sen1floods11/flood_mask/India_80221_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_828067,flood,test,data/external/sen1floods11/flood_sar/India_828067_S1Hand.tif,data/external/sen1floods11/flood_mask/India_828067_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_900498,flood,test,data/external/sen1floods11/flood_sar/India_900498_S1Hand.tif,data/external/sen1floods11/flood_mask/India_900498_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
India_952728,flood,test,data/external/sen1floods11/flood_sar/India_952728_S1Hand.tif,data/external/sen1floods11/flood_mask/India_952728_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Mekong_1443339,flood,test,data/external/sen1floods11/flood_sar/Mekong_1443339_S1Hand.tif,data/external/sen1floods11/flood_mask/Mekong_1443339_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Mekong_254910,flood,test,data/external/sen1floods11/flood_sar/Mekong_254910_S1Hand.tif,data/external/sen1floods11/flood_mask/Mekong_254910_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Mekong_333434,flood,test,data/external/sen1floods11/flood_sar/Mekong_333434_S1Hand.tif,data/external/sen1floods11/flood_mask/Mekong_333434_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Mekong_382276,flood,test,data/external/sen1floods11/flood_sar/Mekong_382276_S1Hand.tif,data/external/sen1floods11/flood_mask/Mekong_382276_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Mekong_424793,flood,test,data/external/sen1floods11/flood_sar/Mekong_424793_S1Hand.tif,data/external/sen1floods11/flood_mask/Mekong_424793_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Mekong_45934,flood,test,data/external/sen1floods11/flood_sar/Mekong_45934_S1Hand.tif,data/external/sen1floods11/flood_mask/Mekong_45934_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Nigeria_22088,flood,test,data/external/sen1floods11/flood_sar/Nigeria_22088_S1Hand.tif,data/external/sen1floods11/flood_mask/Nigeria_22088_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Nigeria_225131,flood,test,data/external/sen1floods11/flood_sar/Nigeria_225131_S1Hand.tif,data/external/sen1floods11/flood_mask/Nigeria_225131_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Nigeria_417184,flood,test,data/external/sen1floods11/flood_sar/Nigeria_417184_S1Hand.tif,data/external/sen1floods11/flood_mask/Nigeria_417184_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Nigeria_812045,flood,test,data/external/sen1floods11/flood_sar/Nigeria_812045_S1Hand.tif,data/external/sen1floods11/flood_mask/Nigeria_812045_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Pakistan_167553,flood,test,data/external/sen1floods11/flood_sar/Pakistan_167553_S1Hand.tif,data/external/sen1floods11/flood_mask/Pakistan_167553_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Pakistan_528249,flood,test,data/external/sen1floods11/flood_sar/Pakistan_528249_S1Hand.tif,data/external/sen1floods11/flood_mask/Pakistan_528249_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,0.0,-1.0|0.0,1.0,
Pakistan_664885,flood,test,data/external/sen1floods11/flood_sar/Pakistan_664885_S1Hand.tif,data/external/sen1floods11/flood_mask/Pakistan_664885_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Pakistan_694942,flood,test,data/external/sen1floods11/flood_sar/Pakistan_694942_S1Hand.tif,data/external/sen1floods11/flood_mask/Pakistan_694942_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Pakistan_70625,flood,test,data/external/sen1floods11/flood_sar/Pakistan_70625_S1Hand.tif,data/external/sen1floods11/flood_mask/Pakistan_70625_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Pakistan_849790,flood,test,data/external/sen1floods11/flood_sar/Pakistan_849790_S1Hand.tif,data/external/sen1floods11/flood_mask/Pakistan_849790_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Paraguay_1029191,flood,test,data/external/sen1floods11/flood_sar/Paraguay_1029191_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_1029191_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Paraguay_232281,flood,test,data/external/sen1floods11/flood_sar/Paraguay_232281_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_232281_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Paraguay_271769,flood,test,data/external/sen1floods11/flood_sar/Paraguay_271769_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_271769_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Paraguay_280900,flood,test,data/external/sen1floods11/flood_sar/Paraguay_280900_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_280900_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Paraguay_34417,flood,test,data/external/sen1floods11/flood_sar/Paraguay_34417_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_34417_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|1.0,1.0,
Paraguay_40936,flood,test,data/external/sen1floods11/flood_sar/Paraguay_40936_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_40936_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,0.0,-1.0|0.0,1.0,
Paraguay_511199,flood,test,data/external/sen1floods11/flood_sar/Paraguay_511199_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_511199_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Paraguay_59731,flood,test,data/external/sen1floods11/flood_sar/Paraguay_59731_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_59731_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Paraguay_651904,flood,test,data/external/sen1floods11/flood_sar/Paraguay_651904_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_651904_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Paraguay_683296,flood,test,data/external/sen1floods11/flood_sar/Paraguay_683296_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_683296_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Paraguay_790830,flood,test,data/external/sen1floods11/flood_sar/Paraguay_790830_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_790830_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Paraguay_80102,flood,test,data/external/sen1floods11/flood_sar/Paraguay_80102_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_80102_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Paraguay_868895,flood,test,data/external/sen1floods11/flood_sar/Paraguay_868895_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_868895_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Paraguay_913449,flood,test,data/external/sen1floods11/flood_sar/Paraguay_913449_S1Hand.tif,data/external/sen1floods11/flood_mask/Paraguay_913449_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Somalia_166342,flood,test,data/external/sen1floods11/flood_sar/Somalia_166342_S1Hand.tif,data/external/sen1floods11/flood_mask/Somalia_166342_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Somalia_322855,flood,test,data/external/sen1floods11/flood_sar/Somalia_322855_S1Hand.tif,data/external/sen1floods11/flood_mask/Somalia_322855_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Somalia_60129,flood,test,data/external/sen1floods11/flood_sar/Somalia_60129_S1Hand.tif,data/external/sen1floods11/flood_mask/Somalia_60129_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Somalia_685158,flood,test,data/external/sen1floods11/flood_sar/Somalia_685158_S1Hand.tif,data/external/sen1floods11/flood_mask/Somalia_685158_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Somalia_699062,flood,test,data/external/sen1floods11/flood_sar/Somalia_699062_S1Hand.tif,data/external/sen1floods11/flood_mask/Somalia_699062_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Somalia_94102,flood,test,data/external/sen1floods11/flood_sar/Somalia_94102_S1Hand.tif,data/external/sen1floods11/flood_mask/Somalia_94102_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Spain_5650136,flood,test,data/external/sen1floods11/flood_sar/Spain_5650136_S1Hand.tif,data/external/sen1floods11/flood_mask/Spain_5650136_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Spain_6095801,flood,test,data/external/sen1floods11/flood_sar/Spain_6095801_S1Hand.tif,data/external/sen1floods11/flood_mask/Spain_6095801_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Spain_6860600,flood,test,data/external/sen1floods11/flood_sar/Spain_6860600_S1Hand.tif,data/external/sen1floods11/flood_mask/Spain_6860600_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Spain_7370579,flood,test,data/external/sen1floods11/flood_sar/Spain_7370579_S1Hand.tif,data/external/sen1floods11/flood_mask/Spain_7370579_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Spain_7387658,flood,test,data/external/sen1floods11/flood_sar/Spain_7387658_S1Hand.tif,data/external/sen1floods11/flood_mask/Spain_7387658_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Spain_7558720,flood,test,data/external/sen1floods11/flood_sar/Spain_7558720_S1Hand.tif,data/external/sen1floods11/flood_mask/Spain_7558720_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Sri-Lanka_1049830,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_1049830_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_1049830_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Sri-Lanka_117737,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_117737_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_117737_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Sri-Lanka_377277,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_377277_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_377277_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Sri-Lanka_450918,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_450918_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_450918_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Sri-Lanka_534068,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_534068_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_534068_LabelHand.tif,True,True,True,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
Sri-Lanka_649970,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_649970_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_649970_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Sri-Lanka_713926,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_713926_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_713926_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Sri-Lanka_849649,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_849649_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_849649_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
Sri-Lanka_922192,flood,test,data/external/sen1floods11/flood_sar/Sri-Lanka_922192_S1Hand.tif,data/external/sen1floods11/flood_mask/Sri-Lanka_922192_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
USA_1049586,flood,test,data/external/sen1floods11/flood_sar/USA_1049586_S1Hand.tif,data/external/sen1floods11/flood_mask/USA_1049586_LabelHand.tif,True,True,True,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
