sample_key,dataset_group,split,pairing_method,image_path,mask_path,image_open_ok,mask_open_ok,same_shape,same_crs,same_transform,image_width,image_height,image_bands,mask_width,mask_height,mask_bands,mask_min,mask_max,mask_unique_preview,valid_pixel_ratio,inspection_error
ghana_1078550,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_1078550_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_1078550_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
ghana_141271,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_141271_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_141271_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
ghana_167233,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_167233_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_167233_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,0.0,0.0,0.0,1.0,
ghana_313799,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_313799_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_313799_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
ghana_319168,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_319168_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_319168_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
ghana_359826,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_359826_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_359826_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
ghana_406026,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_406026_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_406026_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
ghana_53713,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_53713_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_53713_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,0.0,0.0,0.0,1.0,
ghana_83483,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_83483_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_83483_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,-1.0,-1.0,1.0,
ghana_866994,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_866994_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_866994_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
ghana_97059,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/Ghana_97059_S1Hand.tif,data/external/sen1floods11/flood_mask/Ghana_97059_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,0.0,-1.0|0.0,1.0,
india_1018327,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/India_1018327_S1Hand.tif,data/external/sen1floods11/flood_mask/India_1018327_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
india_399883,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/India_399883_S1Hand.tif,data/external/sen1floods11/flood_mask/India_399883_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
india_44475,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/India_44475_S1Hand.tif,data/external/sen1floods11/flood_mask/India_44475_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,0.0,-1.0|0.0,1.0,
india_570384,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/India_570384_S1Hand.tif,data/external/sen1floods11/flood_mask/India_570384_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
india_591317,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/India_591317_S1Hand.tif,data/external/sen1floods11/flood_mask/India_591317_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
india_592446,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/India_592446_S1Hand.tif,data/external/sen1floods11/flood_mask/India_592446_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
india_631692,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/India_631692_S1Hand.tif,data/external/sen1floods11/flood_mask/India_631692_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,0.0,1.0,0.0|1.0,1.0,
india_747992,flood,test,normalized_stem,data/external/sen1floods11/flood_sar/India_747992_S1Hand.tif,data/external/sen1floods11/flood_mask/India_747992_LabelHand.tif,True,True,True,True,False,512,512,2,512,512,1,-1.0,1.0,-1.0|0.0|1.0,1.0,
