candidate_id,label,label_source,sample_id,group,split_role,source_image_path,crop_path,component_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,area_pixels,area_percent_total,verifier_probability,verifier_threshold,safe_water_fraction,uncertain_fraction
nc-0063-00-000063:01,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0063-00-000063,nc,calibration,data/external/dartis/raw/nc/nc-0063-00-000063.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0063-00-000063__candidate_01.png,1,250,402,288,420,221,363,317,459,242,0.05908203125,1.0,0.17347800436047464,0.6447119140625,0.0317626953125
nc-0174-02-000014:03,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0174-02-000014,nc,calibration,data/external/dartis/raw/nc/nc-0174-02-000014.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0174-02-000014__candidate_03.png,3,265,41,302,111,236,16,332,135,1218,0.29736328125,1.0,0.17347800436047464,0.6871630859375,0.0392236328125
nc-0174-02-000014:04,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0174-02-000014,nc,calibration,data/external/dartis/raw/nc/nc-0174-02-000014.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0174-02-000014__candidate_04.png,4,196,487,213,554,156,464,252,578,674,0.16455078125,1.0,0.17347800436047464,0.6871630859375,0.0392236328125
nc-0174-02-000014:06,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0174-02-000014,nc,calibration,data/external/dartis/raw/nc/nc-0174-02-000014.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0174-02-000014__candidate_06.png,6,219,79,256,120,190,52,286,148,592,0.14453125,1.0,0.17347800436047464,0.6871630859375,0.0392236328125
nc-0174-02-000014:10,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0174-02-000014,nc,calibration,data/external/dartis/raw/nc/nc-0174-02-000014.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0174-02-000014__candidate_10.png,10,287,13,304,46,248,0,344,96,253,0.06176757812499999,1.0,0.17347800436047464,0.6871630859375,0.0392236328125
nc-0314-04-000035:04,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0314-04-000035,nc,calibration,data/external/dartis/raw/nc/nc-0314-04-000035.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0314-04-000035__candidate_04.png,4,605,383,640,458,544,356,640,484,1076,0.2626953125,1.0,0.17347800436047464,0.8849658203125,0.01947509765625
nc-0314-04-000035:05,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0314-04-000035,nc,calibration,data/external/dartis/raw/nc/nc-0314-04-000035.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0314-04-000035__candidate_05.png,5,571,404,613,453,544,380,640,476,1044,0.2548828125,1.0,0.17347800436047464,0.8849658203125,0.01947509765625
nc-0314-04-000035:07,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0314-04-000035,nc,calibration,data/external/dartis/raw/nc/nc-0314-04-000035.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0314-04-000035__candidate_07.png,7,25,564,61,609,0,538,96,634,534,0.13037109375,1.0,0.17347800436047464,0.8849658203125,0.01947509765625
nc-0314-04-000035:09,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0314-04-000035,nc,calibration,data/external/dartis/raw/nc/nc-0314-04-000035.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0314-04-000035__candidate_09.png,9,58,532,71,563,16,500,112,596,259,0.063232421875,1.0,0.17347800436047464,0.8849658203125,0.01947509765625
nc-0314-04-000035:11,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0314-04-000035,nc,calibration,data/external/dartis/raw/nc/nc-0314-04-000035.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0314-04-000035__candidate_11.png,11,549,449,573,466,513,410,609,506,254,0.06201171875,1.0,0.17347800436047464,0.8849658203125,0.01947509765625
nc-0295-04-000016:03,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0295-04-000016,nc,calibration,data/external/dartis/raw/nc/nc-0295-04-000016.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0295-04-000016__candidate_03.png,3,259,623,321,639,238,544,343,640,484,0.1181640625,1.0,0.17347800436047464,0.5595458984375,0.051904296875
nc-0034-00-000034:04,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0034-00-000034,nc,calibration,data/external/dartis/raw/nc/nc-0034-00-000034.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0034-00-000034__candidate_04.png,4,173,243,205,289,141,218,237,314,726,0.17724609375,1.0,0.17347800436047464,0.9731884765625,0.02253173828125
nc-0034-00-000034:05,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0034-00-000034,nc,calibration,data/external/dartis/raw/nc/nc-0034-00-000034.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0034-00-000034__candidate_05.png,5,350,139,368,163,311,103,407,199,245,0.05981445312500001,1.0,0.17347800436047464,0.9731884765625,0.02253173828125
nc-0034-00-000034:06,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0034-00-000034,nc,calibration,data/external/dartis/raw/nc/nc-0034-00-000034.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0034-00-000034__candidate_06.png,6,342,270,369,284,308,229,404,325,220,0.05371093750000001,1.0,0.17347800436047464,0.9731884765625,0.02253173828125
nc-0174-02-000014:09,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0174-02-000014,nc,calibration,data/external/dartis/raw/nc/nc-0174-02-000014.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0174-02-000014__candidate_09.png,9,310,2,349,32,282,0,378,96,363,0.088623046875,0.9999998807907104,0.17347800436047464,0.6871630859375,0.0392236328125
nc-0119-01-000043:01,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0119-01-000043,nc,calibration,data/external/dartis/raw/nc/nc-0119-01-000043.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0119-01-000043__candidate_01.png,1,388,75,422,114,357,46,453,142,330,0.08056640625,0.9999889135360718,0.17347800436047464,0.39307373046875,0.11150146484375
nw-1249-07-000171:01,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nw-1249-07-000171,nw,calibration,data/external/dartis/raw/nw/nw-1249-07-000171.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nw-1249-07-000171__candidate_01.png,1,550,157,580,183,517,122,613,218,260,0.0634765625,0.9999849796295166,0.17347800436047464,0.9548095703125,0.04509033203125
nc-0295-04-000016:02,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0295-04-000016,nc,calibration,data/external/dartis/raw/nc/nc-0295-04-000016.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0295-04-000016__candidate_02.png,2,303,124,323,268,265,74,361,319,1308,0.3193359375,0.9999678134918213,0.17347800436047464,0.5595458984375,0.051904296875
nc-0034-00-000034:03,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0034-00-000034,nc,calibration,data/external/dartis/raw/nc/nc-0034-00-000034.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0034-00-000034__candidate_03.png,3,0,381,18,614,0,244,96,640,1763,0.430419921875,0.9999363422393799,0.17347800436047464,0.9731884765625,0.02253173828125
nc-0250-03-000015:01,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0250-03-000015,nc,calibration,data/external/dartis/raw/nc/nc-0250-03-000015.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0250-03-000015__candidate_01.png,1,501,291,526,400,466,253,562,438,424,0.103515625,0.9999113082885742,0.17347800436047464,0.80616455078125,0.00916259765625
nw-1280-08-000031:01,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nw-1280-08-000031,nw,calibration,data/external/dartis/raw/nw/nw-1280-08-000031.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nw-1280-08-000031__candidate_01.png,1,477,111,544,187,454,84,568,213,2429,0.593017578125,0.9997804760932922,0.17347800436047464,0.794619140625,0.158505859375
nc-0034-00-000034:02,LOOK_ALIKE,DARTIS_CANONICAL_NO_OIL_NC_NW,nc-0034-00-000034,nc,calibration,data/external/dartis/raw/nc/nc-0034-00-000034.jpg,data/mined/v07_canonical_lookalike_candidates/crops/nc-0034-00-000034__candidate_02.png,2,1,176,53,347,0,116,96,407,2429,0.593017578125,0.9996532201766968,0.17347800436047464,0.9731884765625,0.02253173828125
