scene_id,group,source_image_path,mask_path,discovery_method,source_reference,source_column,readable,size_match,binary_like,positive_pixels,positive_fraction,unique_value_count,valid_mask,pair_valid,candidate_score,error
oc-0001,oc,data/external/dartis/raw/oc/oc-0001.jpg,data/derived/v06_water_masks/land/oc/oc-0001.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,83112,0.20291015625,2,True,True,1175.0,
oc-0002,oc,data/external/dartis/raw/oc/oc-0002.jpg,data/derived/v06_water_masks/land/oc/oc-0002.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,132103,0.32251708984375,2,True,True,1175.0,
oc-0003,oc,data/external/dartis/raw/oc/oc-0003.jpg,data/derived/v06_water_masks/land/oc/oc-0003.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,174361,0.42568603515625,2,True,True,1175.0,
oc-0004,oc,data/external/dartis/raw/oc/oc-0004.jpg,data/derived/v06_water_masks/land/oc/oc-0004.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,1668,0.004072265625,2,True,True,1195.0,
oc-0005,oc,data/external/dartis/raw/oc/oc-0005.jpg,data/derived/v06_water_masks/land/oc/oc-0005.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,210378,0.5136181640625,2,True,True,1175.0,
oc-0006,oc,data/external/dartis/raw/oc/oc-0006.jpg,data/derived/v06_water_masks/land/oc/oc-0006.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,3051,0.00744873046875,2,True,True,1195.0,
oc-0007,oc,data/external/dartis/raw/oc/oc-0007.jpg,data/derived/v06_water_masks/land/oc/oc-0007.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,241905,0.59058837890625,2,True,True,1175.0,
oc-0008,oc,data/external/dartis/raw/oc/oc-0008.jpg,data/derived/v06_water_masks/land/oc/oc-0008.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,3109,0.00759033203125,2,True,True,1195.0,
oc-0009,oc,data/external/dartis/raw/oc/oc-0009.jpg,data/derived/v06_water_masks/land/oc/oc-0009.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,194532,0.474931640625,2,True,True,1175.0,
oc-0010,oc,data/external/dartis/raw/oc/oc-0010.jpg,data/derived/v06_water_masks/land/oc/oc-0010.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,75074,0.1832861328125,2,True,True,1195.0,
oc-0011,oc,data/external/dartis/raw/oc/oc-0011.jpg,data/derived/v06_water_masks/land/oc/oc-0011.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,46424,0.11333984375,2,True,True,1195.0,
oc-0012,oc,data/external/dartis/raw/oc/oc-0012.jpg,data/derived/v06_water_masks/land/oc/oc-0012.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,174400,0.42578125,2,True,True,1175.0,
oc-0013,oc,data/external/dartis/raw/oc/oc-0013.jpg,data/derived/v06_water_masks/land/oc/oc-0013.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,179955,0.43934326171875,2,True,True,1175.0,
oc-0014,oc,data/external/dartis/raw/oc/oc-0014.jpg,data/derived/v06_water_masks/land/oc/oc-0014.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,144586,0.3529931640625,2,True,True,1175.0,
oc-0015,oc,data/external/dartis/raw/oc/oc-0015.jpg,data/derived/v06_water_masks/land/oc/oc-0015.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,197523,0.48223388671875,2,True,True,1175.0,
oc-0016,oc,data/external/dartis/raw/oc/oc-0016.jpg,data/derived/v06_water_masks/land/oc/oc-0016.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,111914,0.2732275390625,2,True,True,1175.0,
oc-0017,oc,data/external/dartis/raw/oc/oc-0017.jpg,data/derived/v06_water_masks/land/oc/oc-0017.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,165581,0.40425048828125,2,True,True,1175.0,
oc-0018,oc,data/external/dartis/raw/oc/oc-0018.jpg,data/derived/v06_water_masks/land/oc/oc-0018.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,163347,0.39879638671875,2,True,True,1175.0,
oc-0019,oc,data/external/dartis/raw/oc/oc-0019.jpg,data/derived/v06_water_masks/land/oc/oc-0019.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,163708,0.399677734375,2,True,True,1175.0,
oc-0020,oc,data/external/dartis/raw/oc/oc-0020.jpg,data/derived/v06_water_masks/land/oc/oc-0020.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,201601,0.49218994140625,2,True,True,1175.0,
oc-0021,oc,data/external/dartis/raw/oc/oc-0021.jpg,data/derived/v06_water_masks/land/oc/oc-0021.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,101715,0.24832763671875,2,True,True,1175.0,
oc-0022,oc,data/external/dartis/raw/oc/oc-0022.jpg,data/derived/v06_water_masks/land/oc/oc-0022.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,6911,0.01687255859375,2,True,True,1195.0,
oc-0023,oc,data/external/dartis/raw/oc/oc-0023.jpg,data/derived/v06_water_masks/land/oc/oc-0023.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,127019,0.31010498046875,2,True,True,1175.0,
oc-0024,oc,data/external/dartis/raw/oc/oc-0024.jpg,data/derived/v06_water_masks/land/oc/oc-0024.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,123266,0.3009423828125,2,True,True,1175.0,
oc-0025,oc,data/external/dartis/raw/oc/oc-0025.jpg,data/derived/v06_water_masks/land/oc/oc-0025.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,1123,0.00274169921875,2,True,True,1195.0,
oc-0026,oc,data/external/dartis/raw/oc/oc-0026.jpg,data/derived/v06_water_masks/land/oc/oc-0026.png,metadata,data/metadata/v06_dartis_water_masks.csv,land_mask_path,True,True,True,117370,0.2865478515625,2,True,True,1175.0,
